Artist + song,Track ID,reducedGenre
Ultravox - Vienna,7ioy6ppmN9Rn8Pm5axNzUP,Rock
Steve Forbert - Schoolgirl,4sG7t2P1zuPcEsHCpN6VWB,Folk/Acoustic
John Lennon - Woman,0GGxVTb0UwDwdaKNjBdCn3,Rock
Status Quo - Something About You Baby I Like,0HpEGpEEa7IpsAVIxPxTm5,Rock
Roger Daltrey - Without Your Love,42MVxFxdk3CXuIxLnozyoF,Rock
Spargo - One Night Affair,0fI4pYDE34oTFtlLVUAPAm,Pop
Babe - Mister Blitzer,4ewhRgoqtofxQA9HUcfLDF,World/Traditional
Christopher Cross - Sailing,6Hu6dzwlvoyg3zBUC8k4BK,Rock
Tony Sherman & Julia Loko - Too Big For Words,5MA1U7U8vELRxGrMnlu8OX,Pop
Emmylou Harris - Mister Sandman,48ASbLiJlwc9vVcFz2r4Zx,Folk/Acoustic
Frank Duval & Orchestra - Angel Of Mine,6R4pFpZdnsUCQDPFM33cn5,Pop
Henk Wijngaard - Ik Heb 'n Truck Als M'n Woning,7G6FPCHumYHGWgMY1pTEGX,Rock
The Who - You Better You Bet,6krAkpKf8NW11bOfNkxpmx,Rock
"Dolly - 9 To 5 [""9 To 5 And Odd Jobs""]",4w3tQBXhn5345eUXDGBWZG,Country
Fischer-Z - Marliese,3CovsS9wAZUNH7AwSLPTIH,Rock
The Jacksons - Can You Feel It,0RAiBUgOC5pgFUHsldtix3,R&B
Linda Williams - Het Is Een Wonder,6xagCDVgxfqayNbciafI1K,Metal
REO Speedwagon - Keep On Loving You,4rcHWl68ai6KvpXlc8vbnE,Rock
"Earth, Wind & Fire - And Love Goes On",4fLyo0TfSm6eZuYpK33Wye,R&B
Kayak - Seagull,1mFRWEFSJCvFoIlxir2jkU,Rock
Diana Ross - It's My Turn,0Hb2lKzzpKK4VxwER1fF25,R&B
Paris - Stars Are Blind,71V89tJj9CboDyzncO6ZN2,Pop
Akcent - JoKero,6k7VFY2Yksj8uU81Zge2x1,Electronic
Belle Perez - Ave Maria,2h2jV4Qh5t5pAdiLPpOlmJ,Pop
Rihanna - Unfaithful,13xxBnXOuiBxVxJI458B0i,Pop
Boris - Within My Hands,6OjskxgO7o4mN4QP7dS8xM,Pop
I.O.S [Is Ook Schitterend] - Altijd Wel Iemand,13CgyQJ9qUHcEkKwMMGn0m,Pop
Wir Sind Helden - Wenn Es Passiert,0tqdwcXyp9EytUIsR46OBw,Rock
Corinne Bailey Rae - Trouble Sleeping,7m8PDR3PRg5lPhWMdYrktc,R&B
Basshunter - Boten Anna,4rino0wsmUcK36Ro4CCrke,Pop
Lily Allen - Smile,79z9QkhHePTFsSeVw9uyj0,Pop
Keane - Crystal Ball,3e90d7sOsXNnVyBfOhjo0z,Rock
Ne*Yo - Sexy Love,10aWGOqSDBqvNzJ9NeKDbK,Pop
Ali B - Zomervibe,0PQGuO68TXGJOhMpxUV5qO,Hip Hop
Alderliefste & Paul De Leeuw - Une Belle Histoire - Een Mooi Verhaal,7skWuMUzBE46evVYEAh36T,Pop
Djumbo - Boya Boya Bay - De Titelsong van De Film Garfield 2,3vcY68tjiUmrcLmF8REkAc,Pop
Gebroeders Ko - Boten Anna,1ROhRbSvivYl9a4htiKHYg,Pop
Fonzerelli - Moonlight Party,4f56CmD6NPCwGd3CWDDpHY,Electronic
BodyRockers - I Like The Way,5Tn876jA9HT1dpPbNGrjUf,Rock
Tiësto featuring Maxi Jazz - Dance4Life,1lB4fe07PjoWuGzOlTtpOX,Electronic
The Shapeshifters & Chic - Sensitivity,5KbmNjZxbu3x9fyXTZbOzQ,Electronic
